,obj_id,area[ha],ativo[ha],coda,mean[$/ha],ecoserv,prob_deforest,price[$]
5144,255345,48.5419,9.121087615,1,2498.9,0.587000714,0.0,121301.3539
5419,266699,28.5051,18.52832261,1,4282.3,0.548954477,0.0,122067.3897
5175,256263,47.099,1.49506798,1,2595.1,0.5516591470000001,0.710843373,122226.6149
5148,255769,45.574,29.49667585,1,2683.9,0.46985664,0.879518072,122316.0586
15406,771342,49.1189,17.89848385,1,2491.5,0.584789253,0.0,122379.7393
15408,771410,30.0597,9.53882359,1,4112.1,0.589181284,0.0,123608.4924
13168,702442,50.4004,29.95160201,1,2454.5,0.45596898399999997,0.7510040159999999,123707.7818
20970,1109153,21.9129,3.23616142,2,5661.6,0.555477321,0.0,124062.0746
4454,241783,30.0326,2.72724791,1,4138.4,0.45496514600000004,0.345381526,124286.9118
14118,732928,25.0149,13.16966995,1,4972.8,0.557812182,0.522088353,124394.0947
16165,839070,51.0117,11.67850229,1,2439.7,0.520436604,0.0,124453.2445
6573,297679,18.3284,9.16638029,1,6790.5,0.339717129,0.0,124459.0002
7530,364285,47.507,17.87954006,1,2624.7,0.726076979,0.0,124691.6229
6108,287169,29.0615,12.57213137,1,4297.1,0.513166815,0.0,124880.1717
26942,1522145,27.1839,0.22665679999999996,1,4611.3,0.726398557,0.0,125353.1181
4242,232747,29.2623,1.02051762,1,4311.9,0.542155142,0.0,126176.1114
15355,771302,51.2569,15.36756169,1,2461.9,0.571405597,0.6345381529999999,126189.3621
5783,280481,50.4187,20.23811321,1,2506.3,0.589901539,0.959839357,126364.3878
15409,771586,50.6028,32.89185621,1,2498.9,0.597714668,0.0,126451.3369
5835,280861,34.9681,11.51570705,1,3616.3,0.529977581,0.710843373,126455.14
5123,255537,47.2656,25.72262401,1,2683.9,0.592034805,0.7510040159999999,126856.1438
5823,280729,51.8807,12.54316343,1,2447.1,0.552969147,0.959839357,126957.261
7979,384853,31.2469,3.36760151,2,4065.2,0.43915193799999996,0.0,127024.8979
13449,707186,52.0708,16.84583456,1,2447.1,0.59416159,0.0,127422.4547
6310,290419,50.7286,32.79640332,1,2513.7,0.480393613,0.6787148590000001,127516.4818
13461,707240,40.0083,0.83179481,1,3194.5,0.59712294,0.172690763,127806.5144
9757,461299,30.1187,12.20183623,2,4260.1,0.47415097100000003,0.710843373,128308.6739
20615,1075632,51.53,2.14609174,2,2491.5,0.0,0.0,128386.995
5221,256849,51.4141,13.41317233,1,2498.9,0.5937183770000001,0.710843373,128478.6945
14761,749934,49.9667,5.869686105,1,2587.7,0.535569643,0.7510040159999999,129298.8296
4255,232875,48.1023,26.67588199,1,2698.7,0.471038808,0.654618474,129813.677
6183,288629,33.0844,21.43876514,1,3927.1,0.49577686,0.5742971889999999,129925.7472
4996,251395,47.7997,31.06978381,1,2728.3,0.5726326429999999,0.738955823,130411.9215
15221,765198,50.7654,2.03374959,1,2572.9,0.587500699,0.0,130614.2977
6863,312099,53.7785,21.95604704,1,2439.7,0.49915138700000006,0.0,131203.4064
8046,389432,32.0699,19.84542792,2,4114.0,0.43924067299999997,0.7269076309999999,131935.5686
2801,181697,42.6069,27.69440765,1,3105.3,0.635389636,0.0,132307.2066
9374,444338,54.2073,35.23474637,2,2447.1,0.546445795,0.7510040159999999,132650.6838
20616,1075633,53.3333,2.14609174,2,2491.5,0.0,0.0,132879.917
6326,290611,53.5114,19.1251612,1,2491.5,0.661184087,0.710843373,133323.6531
362,17195,54.49100000000001,1.93082924,1,2447.1,0.629080909,0.0,133344.9261
15374,771580,52.3009,33.98472669,1,2558.1,0.59083187,0.542168675,133790.9323
6525,297075,33.1566,0.548036575,1,4055.9,0.31541614100000004,0.0,134479.8539
5818,280657,40.5361,18.9852249,1,3327.7,0.594082488,0.0,134891.98
17234,895950,55.5384,12.86127246,2,2447.1,0.47139676399999997,0.6345381529999999,135908.0186
15348,770884,55.57,18.52093982,1,2454.5,0.534683661,0.0,136396.565
5749,279819,55.4494,20.04208394,1,2476.7,0.493064309,0.6787148590000001,137331.529
27767,1570125,18.4182,2.68363228,2,7458.4,0.661262879,0.710843373,137370.3029
9769,460987,31.9407,7.01183808,1,4304.5,0.473674021,0.0,137488.7432
